revenue_id,date_id,year,month_num,month_name,quarter,quarter_label,stylist_id,territory_id,geo_id,city,region,country,currency_code,fx_rate,revenue_usd,revenue_local,cosm_revenue_usd,cosm_revenue_local,royalties_usd,session_mode,session_count
1,202507,2025,7,Jul,3,Q3 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,8033.59,6346.54,1112.97,879.25,803.36,In-Person,13
2,202508,2025,8,Aug,3,Q3 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,6700.66,5293.52,1191.1,940.97,670.07,In-Person,16
3,202509,2025,9,Sep,3,Q3 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,7071.06,5586.14,1244.83,983.42,707.11,In-Person,24
4,202510,2025,10,Oct,4,Q4 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,10531.51,8319.89,2075.29,1639.48,1053.15,Virtual,20
5,202511,2025,11,Nov,4,Q4 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,12137.22,9588.4,1988.55,1570.95,1213.72,In-Person,31
6,202512,2025,12,Dec,4,Q4 2025,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,9755.2,7706.61,1783.37,1408.86,975.52,In-Person,22
7,202601,2026,1,Jan,1,Q1 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,6513.22,5145.44,673.24,531.86,651.32,In-Person,22
8,202602,2026,2,Feb,1,Q1 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,6020.65,4756.31,1283.93,1014.3,602.06,In-Person,12
9,202603,2026,3,Mar,1,Q1 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,13805.31,10906.19,3279.34,2590.68,1380.53,In-Person,23
10,202604,2026,4,Apr,2,Q2 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,8371.8,6613.72,1487.39,1175.04,837.18,In-Person,38
11,202605,2026,5,May,2,Q2 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,8064.31,6370.8,1416.7,1119.19,806.43,In-Person,14
12,202606,2026,6,Jun,2,Q2 2026,S001,T01,G01,London,EMEA,United Kingdom,GBP,0.79,6798.4,5370.74,1148.71,907.48,679.84,In-Person,37
13,202507,2025,7,Jul,3,Q3 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,15513.37,12255.56,1685.8,1331.78,1551.34,In-Person,14
14,202508,2025,8,Aug,3,Q3 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,7481.13,5910.09,1619.77,1279.62,748.11,Virtual,14
15,202509,2025,9,Sep,3,Q3 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,9361.56,7395.63,1221.06,964.64,936.16,In-Person,35
16,202510,2025,10,Oct,4,Q4 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,8709.88,6880.81,1515.7,1197.4,870.99,Virtual,12
17,202511,2025,11,Nov,4,Q4 2025,S002,T01,G02,Manchester,EMEA,United Kingdom,GBP,0.79,11306.31,8931.98,2688.82,2124.17,1130.63,In-Person,11
