stylist_id,territory_id,currency_code,revenue_ytd_usd,revenue_ytd_local,clv_usd,avg_session_usd,quota_pct,rebook_rate_pct,retention_pct,referral_rate_pct,cosm_attach_pct,win_rate_pct,ranking,dormant_clients,coaching_flag
S001,T01,GBP,103802.93,82004.31,2228,503,79.8,83,76,8,18,36,19,8,Y
S002,T01,GBP,136765.9,108045.06,4966,325,91.2,58,64,16,10,67,10,10,N
S003,T01,GBP,180900.12,142911.09,2958,359,100.5,61,80,10,27,35,1,4,Y
S004,T02,USD,107516.27,107516.27,6378,372,97.7,83,76,32,12,72,17,11,Y
S005,T02,USD,87448.12,87448.12,6112,227,97.2,83,82,22,19,31,23,5,N
S006,T03,USD,98894.25,98894.25,4330,272,89.9,55,76,30,23,42,20,3,N
S007,T03,USD,90149.16,90149.16,2926,259,100.2,46,73,31,11,62,21,12,Y
S008,T04,AUD,104878.41,159415.18,6221,449,95.3,44,76,30,27,38,18,9,Y
S009,T04,AUD,128579.79,195441.28,4886,258,98.9,52,66,32,30,69,12,12,Y
S010,T05,AED,88523.27,324880.4,3156,404,98.4,44,81,17,29,45,22,7,N
S011,T06,INR,82261.84,6827732.72,4134,409,91.4,56,89,13,17,60,24,14,Y
S012,T06,INR,160079.59,13286605.97,3389,368,106.7,85,91,20,22,48,5,12,Y
S013,T01,GBP,137656.23,108748.42,4928,437,105.9,75,81,11,34,42,9,12,N
S014,T01,GBP,180174.56,142337.9,2933,308,100.1,45,85,17,25,36,2,11,Y
S015,T01,GBP,170439.9,134647.52,6026,243,94.7,60,60,30,13,47,4,7,Y
S016,T02,USD,126250.31,126250.31,6005,255,114.8,69,60,13,34,58,13,14,Y
S017,T02,USD,152045.55,152045.55,4663,193,101.4,68,58,18,24,53,7,3,N
S018,T03,USD,175561.72,175561.72,4963,221,97.5,65,69,6,18,36,3,13,Y
S019,T03,USD,152811.77,152811.77,4546,254,84.9,50,57,15,34,60,6,11,Y
S020,T04,AUD,115721.69,175896.97,2936,420,89.0,70,55,8,8,46,16,3,Y
S021,T04,AUD,120618.67,183340.38,3024,460,92.8,88,88,19,11,48,14,3,Y
S022,T05,AED,120450.49,442053.3,4267,242,92.7,45,70,19,28,69,15,7,Y
S023,T06,INR,135796.68,11271124.44,2314,236,104.5,73,89,6,28,62,11,9,N
S024,T06,INR,140975.9,11700999.7,3781,253,94.0,60,82,6,27,52,8,3,N
