BridgeID,ClientID,StylistID,IsPreferredStylist,FirstVisitDate,LastVisitDate,VisitCount,TotalSpend_GBP
BCS000001,CL2431,STY034,Yes,2020-03-14,2020-06-06,2,821.36
BCS000002,CL2150,STY020,Yes,2024-06-06,2024-08-29,2,400.62
BCS000003,CL2150,STY060,No,2023-05-26,2023-11-10,4,460.22
BCS000004,CL0318,STY012,Yes,2020-08-06,2021-04-15,6,484.55
BCS000005,CL2231,STY067,Yes,2022-05-15,2022-08-07,2,159.32
BCS000006,CL2216,STY050,Yes,2022-06-17,2023-02-24,6,532.25
BCS000007,CL2558,STY026,Yes,2022-04-27,2022-07-20,2,454.75
BCS000008,CL2558,STY021,No,2020-03-26,2020-12-03,6,747.95
BCS000009,CL2808,STY069,Yes,2021-02-28,2021-11-07,6,238.14
BCS000010,CL0163,STY070,Yes,2020-05-17,2021-01-24,6,413.6
BCS000011,CL1854,STY020,Yes,2023-01-22,2023-10-01,6,281.42
BCS000012,CL0861,STY032,Yes,2021-08-01,2021-12-05,3,387.86
BCS000013,CL0861,STY066,No,2023-09-12,2024-01-16,3,166.17
BCS000014,CL0861,STY021,No,2024-05-09,2025-04-10,8,348.04
BCS000015,CL1896,STY043,Yes,2023-01-09,2023-08-07,5,796.42
BCS000016,CL2107,STY063,Yes,2023-05-23,2023-11-07,4,98.25
BCS000017,CL0272,STY026,Yes,2020-11-06,2021-07-16,6,249.4
BCS000018,CL0272,STY001,No,2024-08-18,2025-07-20,8,229.97
BCS000019,CL1445,STY056,Yes,2024-07-19,2025-01-03,4,287.56
BCS000020,CL1445,STY072,No,2020-05-22,2021-01-29,6,707.31
BCS000021,CL2389,STY022,Yes,2020-09-14,2021-05-24,6,807.26
BCS000022,CL2389,STY041,No,2022-05-23,2022-08-15,2,826.05
BCS000023,CL0266,STY070,Yes,2022-08-14,2023-01-29,4,805.74
BCS000024,CL1313,STY073,Yes,2022-08-24,2022-12-28,3,763.93
BCS000025,CL2024,STY059,Yes,2023-02-11,2023-06-17,3,812.35
BCS000026,CL2024,STY029,No,2024-06-12,2025-05-14,8,449.2
BCS000027,CL2468,STY015,Yes,2021-08-22,2021-12-26,3,335.87
BCS000028,CL2468,STY016,No,2023-11-20,2024-10-21,8,587.62
BCS000029,CL2468,STY065,No,2022-03-09,2022-08-24,4,95.83
