ClientID,ColourSeasonID,PreferredStylistID,ReferralSource,AgeGroup,FirstConsultationDate,HasStyleAnalysis,HasMakeupLesson
CL0001,CS08,STY004,Google Search,45-54,2021-11-19,No,Yes
CL0002,CS03,STY044,Facebook,35-44,2021-06-13,No,No
CL0003,CS12,STY025,Gift Voucher,35-44,2022-11-24,Yes,Yes
CL0004,CS12,STY061,Facebook,35-44,2021-05-07,No,Yes
CL0005,CS01,STY032,Word of Mouth,25-34,2023-11-17,No,No
CL0006,CS10,STY055,Instagram,35-44,2021-12-05,No,Yes
CL0007,CS12,STY016,Facebook,35-44,2021-04-17,Yes,Yes
CL0008,CS02,STY024,Friend Referral,65+,2023-11-14,Yes,Yes
CL0009,CS12,STY068,Facebook,45-54,2024-04-05,No,Yes
CL0010,CS04,STY002,Instagram,35-44,2021-09-11,Yes,Yes
CL0011,CS01,STY017,Return Client,35-44,2023-11-29,No,Yes
CL0012,CS01,STY044,Google Search,35-44,2022-06-21,Yes,Yes
CL0013,CS05,STY009,Return Client,35-44,2024-08-10,No,Yes
CL0014,CS02,STY020,Google Search,45-54,2020-11-06,No,Yes
CL0015,CS04,STY029,Word of Mouth,45-54,2023-05-26,No,Yes
CL0016,CS08,STY040,Instagram,45-54,2022-05-28,Yes,No
CL0017,CS12,STY028,Word of Mouth,45-54,2023-07-05,No,No
CL0018,CS02,STY021,Word of Mouth,25-34,2020-06-02,Yes,Yes
CL0019,CS08,STY030,Friend Referral,35-44,2020-03-07,No,No
CL0020,CS05,STY030,Friend Referral,35-44,2023-11-08,No,No
CL0021,CS10,STY015,TikTok,65+,2022-05-20,Yes,No
CL0022,CS03,STY008,Corporate,55-64,2020-05-26,Yes,Yes
CL0023,CS10,STY057,Friend Referral,35-44,2021-08-14,Yes,Yes
CL0024,CS12,STY065,Instagram,35-44,2021-07-11,No,Yes
CL0025,CS02,STY042,Google Search,55-64,2024-02-13,No,Yes
CL0026,CS02,STY074,Word of Mouth,45-54,2024-10-28,Yes,No
CL0027,CS05,STY061,Google Search,45-54,2020-12-24,No,Yes
CL0028,CS03,STY063,YouTube,35-44,2024-07-25,Yes,Yes
CL0029,CS06,STY021,Facebook,35-44,2020-08-02,No,Yes
CL0030,CS12,STY071,Facebook,45-54,2022-03-31,Yes,Yes
CL0031,CS02,STY052,Instagram,35-44,2024-05-01,Yes,No
CL0032,CS09,STY047,Facebook,18-24,2022-11-27,No,No
CL0033,CS08,STY017,Friend Referral,25-34,2023-01-29,No,Yes
CL0034,CS12,STY031,Facebook,18-24,2023-07-14,Yes,Yes
CL0035,CS09,STY015,Word of Mouth,35-44,2021-04-05,No,Yes
CL0036,CS11,STY038,Gift Voucher,35-44,2024-01-07,No,Yes
CL0037,CS08,STY019,YouTube,25-34,2023-02-02,No,Yes
CL0038,CS10,STY009,Google Search,55-64,2024-11-04,No,Yes
CL0039,CS06,STY001,Return Client,35-44,2024-08-07,No,No
CL0040,CS05,STY063,Gift Voucher,35-44,2023-09-13,Yes,Yes
CL0041,CS09,STY070,Facebook,35-44,2024-04-11,No,Yes
CL0042,CS06,STY074,Gift Voucher,65+,2021-05-04,No,Yes
CL0043,CS07,STY049,Word of Mouth,45-54,2023-12-15,No,No
CL0044,CS11,STY017,YouTube,35-44,2020-03-16,No,Yes
CL0045,CS08,STY019,Word of Mouth,55-64,2020-02-01,No,No
CL0046,CS03,STY044,Word of Mouth,45-54,2021-06-26,No,No
CL0047,CS02,STY069,Gift Voucher,55-64,2024-10-25,No,Yes
CL0048,CS11,STY070,Friend Referral,45-54,2024-11-21,Yes,No
CL0049,CS02,STY030,Word of Mouth,45-54,2021-08-11,Yes,Yes
CL0050,CS02,STY057,Friend Referral,45-54,2020-07-24,Yes,No
CL0051,CS05,STY008,Corporate,18-24,2024-06-18,No,Yes
