JourneyID,ClientID,StylistID,ConsultantID,FirstVisitDate,LastVisitDate,TotalVisits,TotalSpend_GBP,DaysSinceLastVisit,WeeksSinceLastVisit,RetentionSegment,Service1,Service2,Service3,IsReturnClient,AvgSpendPerVisit_GBP
JN00001,CL0001,STY018,CON006,2021-09-14,2021-12-17,1,2277.87,1506,215,Lapsed,Colour Analysis,,,No,2277.87
JN00002,CL0002,STY001,CON001,2021-03-31,2024-04-10,2,1729.41,661,94,Lapsed,Style Analysis,Colour Analysis,,Yes,864.71
JN00003,CL0003,STY070,CON024,2022-02-24,2022-08-21,10,2127.02,1259,179,Lapsed,Colour Analysis,Style Analysis,Makeup,Yes,212.7
JN00004,CL0004,STY061,CON021,2022-11-27,2026-01-31,7,1064.98,0,0,Champion,Makeup,Style Analysis,Wardrobe Edit,Yes,152.14
JN00005,CL0005,STY039,CON014,2023-02-03,2023-03-24,4,1702.73,1044,149,Lapsed,Colour Analysis,Makeup,Wardrobe Edit,Yes,425.68
JN00006,CL0006,STY039,CON014,2021-05-17,2023-04-30,1,1574.05,1007,143,Lapsed,Style Analysis,,,No,1574.05
JN00007,CL0007,STY053,CON019,2023-06-10,2023-09-14,6,2050.68,870,124,Lapsed,Makeup,Personal Shopping,Wardrobe Edit,Yes,341.78
JN00008,CL0008,STY057,CON020,2020-05-25,2023-09-25,2,1619.48,859,122,Lapsed,Style Analysis,Colour Analysis,,Yes,809.74
JN00009,CL0009,STY025,CON009,2023-10-13,2024-05-15,7,2332.65,626,89,Lapsed,Personal Shopping,Wardrobe Edit,Colour Analysis,Yes,333.24
JN00010,CL0010,STY058,CON021,2024-08-15,2025-10-25,5,1085.77,98,14,Loyal,Style Analysis,Colour Analysis,Makeup,Yes,217.15
JN00011,CL0011,STY011,CON004,2023-04-02,2025-09-21,11,1678.01,132,18,At Risk,Makeup,Style Analysis,Wardrobe Edit,Yes,152.55
JN00012,CL0012,STY055,CON020,2023-01-04,2026-01-31,7,667.73,0,0,Champion,Makeup,Wardrobe Edit,Style Analysis,Yes,95.39
JN00013,CL0013,STY057,CON020,2020-06-28,2021-09-01,8,2047.5,1613,230,Lapsed,Personal Shopping,Colour Analysis,Wardrobe Edit,Yes,255.94
JN00014,CL0014,STY050,CON018,2020-10-09,2023-04-23,1,1024.01,1014,144,Lapsed,Style Analysis,,,No,1024.01
