NPSID,Date,ConsultantID,StylistID,ClientID,ServiceID,NPS_Score,NPS_Category,MainSeason,Year
NPS000001,2023-01-02,CON001,STY001,CL0328,SV03,10,Promoter,Winter,2023
NPS000002,2023-01-02,CON001,STY002,CL2849,SV11,8,Passive,Winter,2023
NPS000003,2023-01-02,CON002,STY005,CL2342,SV06,9,Promoter,Winter,2023
NPS000004,2023-01-02,CON003,STY009,CL2100,SV01,8,Passive,Winter,2023
NPS000005,2023-01-02,CON003,STY007,CL0496,SV01,8,Passive,Winter,2023
NPS000006,2023-01-02,CON004,STY012,CL2622,SV02,7,Passive,Autumn,2023
NPS000007,2023-01-02,CON005,STY017,CL1267,SV03,9,Promoter,Autumn,2023
NPS000008,2023-01-02,CON005,STY015,CL0365,SV02,10,Promoter,Autumn,2023
NPS000009,2023-01-02,CON006,STY019,CL1666,SV01,8,Passive,Summer,2023
NPS000010,2023-01-02,CON006,STY019,CL2601,SV01,8,Passive,Winter,2023
NPS000011,2023-01-02,CON007,STY020,CL2946,SV05,9,Promoter,Spring,2023
NPS000012,2023-01-02,CON007,STY020,CL1748,SV07,9,Promoter,Summer,2023
NPS000013,2023-01-02,CON007,STY021,CL2293,SV06,8,Passive,Winter,2023
NPS000014,2023-01-02,CON008,STY023,CL1073,SV11,7,Passive,Summer,2023
NPS000015,2023-01-02,CON009,STY026,CL2472,SV03,10,Promoter,Winter,2023
NPS000016,2023-01-02,CON009,STY026,CL1847,SV02,9,Promoter,Summer,2023
NPS000017,2023-01-02,CON010,STY029,CL2866,SV09,8,Passive,Autumn,2023
NPS000018,2023-01-02,CON010,STY029,CL1954,SV06,9,Promoter,Winter,2023
NPS000019,2023-01-02,CON011,STY031,CL0251,SV03,7,Passive,Winter,2023
NPS000020,2023-01-02,CON011,STY031,CL2125,SV10,9,Promoter,Summer,2023
NPS000021,2023-01-02,CON011,STY031,CL0541,SV09,8,Passive,Spring,2023
NPS000022,2023-01-02,CON012,STY034,CL0608,SV10,7,Passive,Winter,2023
NPS000023,2023-01-02,CON012,STY034,CL0559,SV03,10,Promoter,Spring,2023
NPS000024,2023-01-02,CON013,STY038,CL0780,SV05,6,Detractor,Summer,2023
NPS000025,2023-01-02,CON013,STY037,CL0324,SV03,9,Promoter,Winter,2023
NPS000026,2023-01-02,CON016,STY044,CL0781,SV10,7,Passive,Autumn,2023
NPS000027,2023-01-02,CON017,STY047,CL1086,SV02,8,Passive,Autumn,2023
NPS000028,2023-01-02,CON017,STY049,CL2067,SV05,10,Promoter,Winter,2023
NPS000029,2023-01-02,CON019,STY053,CL2668,SV10,10,Promoter,Summer,2023
NPS000030,2023-01-02,CON019,STY054,CL2679,SV01,9,Promoter,Spring,2023
NPS000031,2023-01-02,CON021,STY060,CL0636,SV03,10,Promoter,Summer,2023
NPS000032,2023-01-02,CON022,STY064,CL0743,SV03,10,Promoter,Autumn,2023
NPS000033,2023-01-02,CON023,STY066,CL2555,SV12,9,Promoter,Summer,2023
NPS000034,2023-01-02,CON024,STY069,CL0941,SV10,9,Promoter,Spring,2023
NPS000035,2023-01-02,CON025,STY072,CL1869,SV10,10,Promoter,Summer,2023
NPS000036,2023-01-03,CON001,STY001,CL1021,SV09,8,Passive,Winter,2023
NPS000037,2023-01-03,CON001,STY002,CL0946,SV10,7,Passive,Winter,2023
NPS000038,2023-01-03,CON002,STY003,CL0214,SV01,9,Promoter,Summer,2023
NPS000039,2023-01-03,CON002,STY003,CL2239,SV07,9,Promoter,Autumn,2023
NPS000040,2023-01-03,CON003,STY007,CL2549,SV03,9,Promoter,Winter,2023
NPS000041,2023-01-03,CON003,STY009,CL1806,SV04,9,Promoter,Spring,2023
NPS000042,2023-01-03,CON003,STY007,CL1298,SV01,10,Promoter,Winter,2023
NPS000043,2023-01-03,CON004,STY011,CL1044,SV02,9,Promoter,Autumn,2023
NPS000044,2023-01-03,CON004,STY010,CL0313,SV08,7,Passive,Spring,2023
NPS000045,2023-01-03,CON004,STY012,CL0172,SV11,10,Promoter,Summer,2023
NPS000046,2023-01-03,CON006,STY018,CL0303,SV11,10,Promoter,Autumn,2023
NPS000047,2023-01-03,CON006,STY019,CL0719,SV01,8,Passive,Spring,2023
NPS000048,2023-01-03,CON007,STY020,CL1185,SV01,10,Promoter,Spring,2023
NPS000049,2023-01-03,CON008,STY023,CL1567,SV10,9,Promoter,Summer,2023
NPS000050,2023-01-03,CON009,STY027,CL1814,SV02,9,Promoter,Spring,2023
NPS000051,2023-01-03,CON009,STY025,CL1110,SV03,9,Promoter,Autumn,2023
NPS000052,2023-01-03,CON009,STY025,CL2804,SV08,8,Passive,Summer,2023
NPS000053,2023-01-03,CON009,STY026,CL2556,SV04,8,Passive,Winter,2023
NPS000054,2023-01-03,CON010,STY029,CL0956,SV02,8,Passive,Summer,2023
NPS000055,2023-01-03,CON012,STY034,CL2680,SV01,7,Passive,Summer,2023
NPS000056,2023-01-03,CON012,STY033,CL1682,SV11,10,Promoter,Summer,2023
NPS000057,2023-01-03,CON012,STY036,CL1786,SV03,9,Promoter,Summer,2023
NPS000058,2023-01-03,CON013,STY038,CL0737,SV02,8,Passive,Spring,2023
NPS000059,2023-01-03,CON013,STY037,CL2258,SV07,8,Passive,Summer,2023
NPS000060,2023-01-03,CON014,STY039,CL2351,SV01,10,Promoter,Autumn,2023
NPS000061,2023-01-03,CON014,STY039,CL0387,SV10,10,Promoter,Spring,2023
NPS000062,2023-01-03,CON014,STY040,CL2205,SV08,6,Detractor,Spring,2023
