SaleID,Date,ConsultantID,StylistID,ClientID,ProductID,ProductName,Category,Season,Quantity,Revenue_GBP,SaleType,Year,MonthName,QuarterYear
PS000001,2023-01-02,CON013,STY037,CL0885,PR12,Lipstick — Rose,Cosmetics,Summer,2,36,Follow-up,2023,January,Q1 2023
PS000002,2023-01-02,CON002,STY004,CL1084,PR04,Colour Fan — Winter,Colour Tools,Winter,1,42,Post-Consultation,2023,January,Q1 2023
PS000003,2023-01-02,CON015,STY042,CL1636,PR19,Shopping Guide Card,Books,All,1,8,Gift,2023,January,Q1 2023
PS000004,2023-01-02,CON014,STY040,CL2611,PR03,Colour Fan — Autumn,Colour Tools,Autumn,1,42,Follow-up,2023,January,Q1 2023
PS000005,2023-01-02,CON009,STY026,CL1882,PR20,Gift Voucher £50,Gift,All,3,150,Follow-up,2023,January,Q1 2023
PS000006,2023-01-02,CON010,STY029,CL2301,PR20,Gift Voucher £50,Gift,All,1,50,Follow-up,2023,January,Q1 2023
PS000007,2023-01-02,CON010,STY030,CL0676,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Post-Consultation,2023,January,Q1 2023
PS000008,2023-01-02,CON004,STY011,CL0380,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Post-Consultation,2023,January,Q1 2023
PS000009,2023-01-02,CON006,STY018,CL2300,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Gift,2023,January,Q1 2023
PS000010,2023-01-03,CON008,STY024,CL1891,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Online,2023,January,Q1 2023
PS000011,2023-01-03,CON025,STY074,CL1452,PR10,Foundation — Cool,Cosmetics,Summer/Winter,1,28,Online,2023,January,Q1 2023
PS000012,2023-01-03,CON013,STY038,CL0729,PR04,Colour Fan — Winter,Colour Tools,Winter,2,84,Post-Consultation,2023,January,Q1 2023
PS000013,2023-01-03,CON016,STY044,CL2965,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Post-Consultation,2023,January,Q1 2023
PS000014,2023-01-03,CON021,STY058,CL0533,PR14,Lipstick — Berry,Cosmetics,Winter,1,18,Online,2023,January,Q1 2023
PS000015,2023-01-03,CON021,STY060,CL2098,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,2,70,Post-Consultation,2023,January,Q1 2023
PS000016,2023-01-03,CON023,STY066,CL0100,PR01,Colour Fan — Spring,Colour Tools,Spring,1,42,Post-Consultation,2023,January,Q1 2023
PS000017,2023-01-03,CON024,STY068,CL0863,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,1,28,Online,2023,January,Q1 2023
PS000018,2023-01-03,CON019,STY054,CL2633,PR06,Silk Scarf — Summer,Accessories,Summer,1,68,Post-Consultation,2023,January,Q1 2023
PS000019,2023-01-03,CON015,STY042,CL1553,PR12,Lipstick — Rose,Cosmetics,Summer,1,18,Online,2023,January,Q1 2023
PS000020,2023-01-04,CON009,STY027,CL1040,PR11,Lipstick — Coral,Cosmetics,Spring,3,54,Post-Consultation,2023,January,Q1 2023
PS000021,2023-01-04,CON002,STY006,CL2058,PR10,Foundation — Cool,Cosmetics,Summer/Winter,2,56,Online,2023,January,Q1 2023
PS000022,2023-01-04,CON006,STY018,CL1147,PR08,Silk Scarf — Winter,Accessories,Winter,1,68,Follow-up,2023,January,Q1 2023
PS000023,2023-01-04,CON006,STY019,CL1601,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Online,2023,January,Q1 2023
PS000024,2023-01-04,CON006,STY019,CL2847,PR10,Foundation — Cool,Cosmetics,Summer/Winter,3,84,Follow-up,2023,January,Q1 2023
PS000025,2023-01-04,CON015,STY042,CL0457,PR15,Eyeshadow — Warm Palette,Cosmetics,Spring/Autumn,1,35,Online,2023,January,Q1 2023
PS000026,2023-01-04,CON024,STY069,CL1881,PR16,Eyeshadow — Cool Palette,Cosmetics,Summer/Winter,2,70,Online,2023,January,Q1 2023
PS000027,2023-01-04,CON020,STY055,CL1650,PR13,Lipstick — Terracotta,Cosmetics,Autumn,1,18,Gift,2023,January,Q1 2023
PS000028,2023-01-04,CON007,STY021,CL1604,PR11,Lipstick — Coral,Cosmetics,Spring,1,18,Gift,2023,January,Q1 2023
PS000029,2023-01-04,CON007,STY020,CL0459,PR09,Foundation — Warm,Cosmetics,Spring/Autumn,3,84,Online,2023,January,Q1 2023
PS000030,2023-01-05,CON023,STY066,CL1503,PR22,Gift Voucher £150,Gift,All,1,150,Online,2023,January,Q1 2023
PS000031,2023-01-05,CON012,STY035,CL2771,PR21,Gift Voucher £100,Gift,All,1,100,Online,2023,January,Q1 2023
PS000032,2023-01-05,CON012,STY033,CL2576,PR19,Shopping Guide Card,Books,All,1,8,Post-Consultation,2023,January,Q1 2023
