ReferralID,ReferrerClientID,ReferredClientID,ReferralDate,Converted,ReferralChannel,FirstServiceBooked,RevenueGenerated_GBP,Year,QuarterYear
REF000001,CL1985,CL2772,2025-02-16,No,Email,Colour & Style Combined,0,2025,Q1 2025
REF000002,CL1125,CL2926,2023-06-11,Yes,Email,Colour & Style Combined,337.89,2023,Q2 2023
REF000003,CL1802,CL1111,2024-07-10,Yes,In-Person,Style Analysis,173.8,2024,Q3 2024
REF000004,CL1802,CL2744,2025-12-23,Yes,Social Media Post,Colour Analysis,127.56,2025,Q4 2025
REF000005,CL0318,CL2791,2023-10-09,Yes,In-Person,Style Analysis,227.24,2023,Q4 2023
REF000006,CL1113,CL1316,2024-08-07,Yes,Word of Mouth,Style Analysis,268.92,2024,Q3 2024
REF000007,CL1113,CL2962,2023-03-18,No,Social Media Post,Makeup Lesson,0,2023,Q1 2023
REF000008,CL1113,CL0721,2023-03-16,No,Email,Makeup Lesson,0,2023,Q1 2023
REF000009,CL1376,CL1186,2023-03-18,Yes,In-Person,Colour Analysis,396.75,2023,Q1 2023
REF000010,CL1376,CL1373,2024-08-05,Yes,In-Person,Makeup Lesson,384.01,2024,Q3 2024
REF000011,CL1310,CL1118,2024-01-30,No,WhatsApp,Style Analysis,0,2024,Q1 2024
REF000012,CL0618,CL1209,2024-01-31,Yes,Email,Makeup Lesson,262.47,2024,Q1 2024
REF000013,CL0948,CL0757,2023-10-15,Yes,Social Media Post,Colour Analysis,179.76,2023,Q4 2023
REF000014,CL0948,CL0965,2025-07-03,No,WhatsApp,Colour & Style Combined,0,2025,Q3 2025
REF000015,CL0626,CL0968,2023-05-08,Yes,Email,Colour & Style Combined,146.91,2023,Q2 2023
REF000016,CL1704,CL1959,2023-11-10,Yes,In-Person,Colour & Style Combined,230.15,2023,Q4 2023
REF000017,CL1704,CL2250,2025-08-22,No,Social Media Post,Style Analysis,0,2025,Q3 2025
REF000018,CL1704,CL2787,2023-06-17,Yes,In-Person,Colour & Style Combined,120.38,2023,Q2 2023
REF000019,CL0848,CL2071,2024-02-19,Yes,Social Media Post,Style Analysis,201.64,2024,Q1 2024
REF000020,CL1596,CL2389,2025-09-28,Yes,In-Person,Makeup Lesson,357.82,2025,Q3 2025
REF000021,CL2359,CL1263,2023-02-14,Yes,Word of Mouth,Style Analysis,282.95,2023,Q1 2023
REF000022,CL1559,CL0262,2023-05-04,No,Word of Mouth,Makeup Lesson,0,2023,Q2 2023
